,OBJECTID,GISJOIN,longitude,latitude,orig_parish,current_parish,census_year,census_state,census_state_code,census_county_code,census_county,total_pop,nwfree_pop,nwslave_pop,white_pop,yeardate_format,white_nonwhite,white_nonwhiteslave,nonwhitefree_nonwhiteslave
0,1,G4170335,-90.36304682,29.88361539,St Charles,St Charles,1810,Orleans Territory,417,335,St Charles,3291,150,2321,820,1810-01-01,0.3318494536624848,5.466666666666667,0.06462731581214994
1,2,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1820,Louisiana,220,890,St Charles,3862,148,2987,727,1820-01-01,0.23189792663476874,4.912162162162162,0.04954804151322397
2,3,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1830,Louisiana,220,890,St Charles,5147,158,4118,871,1830-01-01,0.20369504209541628,5.512658227848101,0.03836813987372511
3,4,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1840,Louisiana,220,890,St Charles,4700,104,3722,874,1840-01-01,0.2284370099320439,8.403846153846153,0.027941966684578184
4,5,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1850,Louisiana,220,890,St Charles,5120,121,4132,867,1850-01-01,0.20385610157535858,7.1652892561983474,0.029283639883833496
5,6,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1860,Louisiana,220,890,St Charles,5297,177,4182,938,1860-01-01,0.2151869694884148,5.299435028248587,0.04232424677187949
6,7,G4170095,-91.96394264,31.8014266,Catahoula,Catahoula,1810,Orleans Territory,417,95,Catahoula,1164,8,348,808,1810-01-01,2.269662921348315,101.0,0.022988505747126436
7,8,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1820,Louisiana,220,250,Catahoula,2287,12,751,1524,1820-01-01,1.9973787680209698,127.0,0.015978695073235686
8,9,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1830,Louisiana,220,250,Catahoula,2581,18,920,1643,1830-01-01,1.751599147121535,91.27777777777777,0.01956521739130435
9,10,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1840,Louisiana,220,250,Catahoula,4955,22,1998,2935,1840-01-01,1.452970297029703,133.4090909090909,0.011011011011011011
10,11,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1850,Louisiana,220,250,Catahoula,7132,19,3528,3585,1850-01-01,1.010713278827178,188.68421052631578,0.005385487528344671
11,12,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1860,Louisiana,220,250,Catahoula,11651,46,6113,5492,1860-01-01,0.8917031985711966,119.3913043478261,0.007524946834614755
